Title,Sentiment
भूमि व्यवस्था तथा अभिलेख विभागका महानिर्देशकमाथि कार्यकक्षमै दुर्व्यवहार,negative
‘लू’बाट बच्न स्वास्थ्य मन्त्रालयको आग्रह,neutral
भैरहवा र पोखराबाट दोहा उडान गर्न कतारी अमिरलाई प्रधानमन्त्रीको आग्रह,neutral
विपिन जोशीको रिहाइका लागि पहल गर्न कतारी अमिरलाई प्रधानमन्त्रीको आग्रह,neutral
दुई दिने नेपाल भ्रमण सकेर स्वदेश फर्किए कतारका अमिर,neutral
नेपालमा लगानीको अध्ययन संयन्त्र बनाउन कतार तयार ,positive
पर्यटन बोर्डको सीइओ नियुक्ति प्रक्रिया अघि नबढाउन उच्च अदालतको अन्तरिम आदेश,neutral
"नेपाल र कतारबीच २ सम्झौता, ६ समझदारी",positive
आसन्न महाधिवेशन कम्युनिष्ट आन्दोलनको ऐतिहासिक उपलब्धि हो : पूर्वप्रधानमन्त्री खनाल,positive
नेपाल र कतारबीच द्विपक्षीय समझदारीमा हस्ताक्षर,positive
प्रधानमन्त्री दाहाल र कतारका अमिर नेतृत्वको द्विदेशीय प्रतिनिधिमण्डलबीच वार्ता,neutral
प्रधानमन्त्री दाहाल र कतारका अमिरबीच भेटवार्ता,neutral
कतारी अमिर : कान्छा युवराजदेखि प्रभावशाली शासकसम्म,positive
देशलाई मेडिकल शिक्षाको ‘हब’का रूपमा विकास गर्न सरकार क्रियाशील छः  प्रधानमन्त्री,positive
इलामको दुर्गममा पुगेनन् उम्मेदवार,negative
धर्मगुरुकोमा नेताहरूको लर्को,neutral
राष्ट्रपति पौडेलले कतारका अमिरलाई भने– ‘विपिनको रिहाइका लागि पहल गरिदिनुस्’,neutral
४ जेट विमानसहित आए कतारी अमिर,neutral
"तराईका केही स्थानमा हुरीबतासको चेतावनी, बाँकी भागमा  मौसम सफा रहने",neutral
कतार उड्दै रुद्रकली र खगेन्द्र,neutral
लगानी सम्मेलनमा ५२ मुलुकका ६३४ लगानीकर्ता आउँदै,positive
ऐना झ्यालको पुतलीदेखि रेस्टुरेन्टसम्म,neutral
