Title,Sentiment
‘वार टु’ मा रजाटोसको इन्ट्री,neutral
तस्बिरमा नेपाल र वेस्ट इन्डिज ‘ए’ बीचको खेल,neutral
बिमा प्राधिकरणका अध्यक्ष सिलवालविरुद्ध भ्रष्टाचार मुद्दा दायर,negative
शशांकको सनसनी,neutral
सन् १९७० मा आजकै दिन : जोन वेनलाई ओस्कार,positive
‘सी’ डिभिजनमा आरसीको बराबरी,neutral
अस्कर मञ्चमा अर्धनग्न जोन सिना,neutral
एन्टोनको 'म्यारिज प्रपोजल' कुञ्जमा मञ्चन हुँदै ,neutral
क्रिकेटको पूर्वघोषित नगद पुरस्कार प्रदान,neutral
करफोकमा गुञ्जियो नेपथ्य ,positive
पछिल्लो समय कृत्रिम गर्भाधानबारे सचेतना फैलँदै छ : डा.भारती,positive
सन् १९७० मा आजकै दिन : जोन वेनलाई ओस्कार,positive
पानी सञ्चित गर्न रसुवामा 'आइस स्तूपा',positive
‘ननस्टप’ रजनीकान्त,neutral
कान्तिपुरका अध्यक्ष सिरोहियालाई हिरासतमा लिएर अनुसन्धान गर्न अदालतबाट ३ दिन म्याद थप,negative
फिल्म समीक्षा : ‘द रेड सुटकेस’मा रित्तो नेपाली समाज ,negative
सुदूरपश्चिममा सोडारीलाई मुख्यमन्त्री बनाउने निर्णयविरुद्धको रिटमा सर्वोच्चले दिएन अन्तरिम आदेश,negative
टेनिसले बदलेको सपना,positive
संसद् सधैँ बन्धक बन्न सक्दैन : सभामुख घिमिरे,negative
विश्व मुवाँथाईमा नेपालका ५ खेलाडी,positive
पूर्वसभामुख महरासहित प्रहरी र कर्मचारीलाई कारबाही गर्न गृहमन्त्रीको निर्देशन ,positive
"कर्णालीको कसरत, दुई अंकको स्वर्ण",positive
केकीले के बुझिनन् ?,neutral
नेपाली चलचित्रमा विदेशी लगानी ल्याउने पहल भइरहेको छ : भुवन केसी,positive
अत्यधिक गर्मीमा सावधानी अपनाउन मौसमविद्को सुझाव,positive
कान्तिपुरको समाचार रोक्न र ब्ल्याकमेलिङ गर्न पक्राउ पुर्जी जारी गरियो : अध्यक्ष सिरोहिया,negative
